product_name,packaging,main_category,nutrition_grade_fr,nutrition_score,fat_g,carbohydrates_g,proteins_g,additives_n,ingredients_from_palm_oil_n,fp_lat,fp_lon,contains_additives
"Blanc de Poulet, A la provençale (4 tranches)","frais,barquette et film plastique à jeter,sous atmosphère protectrice",fresh-foods,d,11,2.0,1.5,20.0,3,0,48.35,-3.85,1
"Blanc de Poulet, Aux herbes (4 tranches)","frais,barquette et film plastique à jeter,sous atmosphère protectrice",fresh-foods,d,11,2.0,1.5,20.0,3,0,48.35,-3.85,1
Jus d'Orange sans Pulpe,"bouteille,plastique",fruit-juices,c,4,0.2,9.4,0.8,0,0,47.63,-2.67,0
"Quark Traum Natur 0,2% Fett","pp 05,alu 41",dairies,a,-5,0.2,3.7,8.5,0,0,47.63,-2.67,0
Zumo de naranja exprimida con pulpa,tetra brik,fruit-juices,c,4,0.1,10.0,0.6,0,0,47.63,-2.67,0
Arcobaleno,"plastique,carton,♹",plant-based-foods-and-beverages,a,-1,1.5,72.5,12.1,0,0,47.63,-2.67,0
Spicy tuna salad - Mexican style,"aluminium,board,aluminium",plant-based-foods-and-beverages,a,-5,3.0,9.5,10.0,0,0,48.1,-4.33,0
Chaparro Clássico,vidro,azeites,e,20,91.3,0.0,0.0,0,0,47.63,-2.67,0
Émincé de poulet,"barquette,plastique",meats,a,-4,1.7,0.0,23.0,0,0,47.63,-2.67,0
Pur jus d'ananas,"bouteille,plastique",fruit-juices,c,5,0.03,11.4,0.3,1,0,47.63,-2.67,1
Jambon cuit doré,"barquette,plastique",meats,c,5,3.0,2.0,20.0,3,0,47.63,-2.67,1
Biscuits cuillers,"carton,boîte",sugary-snacks,d,15,3.4,72.0,7.0,1,0,47.63,-2.67,1
Wasabi Crispy Coated Peanuts,"sachet,plastique,sachet",plant-based-foods-and-beverages,e,24,32.9,41.6,12.8,4,1,47.63,-2.67,1
5 Croissants Choco-Noisette,pp 05,sugary-snacks,e,21,30.0,47.3,6.0,6,1,47.63,-2.67,1
L'étal du boucher Le tendre et savoureux 10 hachés au boeuf,surgelé,meats,c,5,15.0,0.5,19.0,0,0,46.5,5.4,0
Dés de poulet,"barquette,plastique,item",meats,c,4,2.0,1.0,21.0,3,0,47.63,-2.67,1
Penne glutenfrei,verpackv-05,plant-based-foods-and-beverages,a,-2,2.4,79.0,6.4,0,0,47.63,-2.67,0
Magic Ohh... Nougat,"surgelé,carton,plastique,sachet,individuel,boite,pap21,pp05",desserts,e,19,25.8,24.8,3.3,4,1,47.63,-2.67,1
Premium Kabeljaurückenfilets ohne Haut,verpackv-07,seafood,a,-5,0.1,0.0,18.5,0,0,47.63,-2.67,0
Thunfischfilets in eigenem Saft und Aufguss,"dose,40 fe,dose",canned-foods,b,0,0.6,0.1,21.2,0,0,47.63,-2.67,0
Thunfish-filets,"conserve,dosen",seafood,b,0,2.8,0.1,24.6,1,0,47.63,-2.67,1
Purée de Pomme de Terre,"surgelé,plastique,sachet",frozen-foods,b,2,3.1,15.0,2.0,1,0,47.63,-2.67,1
Vinaigre de Vin,"sachet,plastique",beverages,c,5,0.3,0.3,0.2,1,0,47.63,-2.67,1
Spaghetti,plastic bag,plant-based-foods-and-beverages,a,-5,1.3,73.0,12.0,0,0,47.63,-2.67,0
Vanillin-Zucker,"de:kunststofffolie,de:papier,05 pp,22 pap,♷",sweeteners,d,15,0.0,98.6,0.0,0,0,47.63,-2.67,0
Alaska Seelachs Paniert,"sachet,plastique,surgelé",meals,a,-1,0.8,16.0,13.0,0,0,47.63,-2.67,0
Marinade barbecue,"sachet plastique,07",groceries,e,28,61.3,16.1,2.9,2,1,47.63,-2.67,1
Party crockers,carton,salty-snacks,e,22,32.0,46.8,17.2,6,1,47.63,-2.67,1
Jambon Cru au Poivre,"frais,plastique",meats,d,12,3.0,1.0,27.0,3,0,47.63,-2.67,1
Boulghour aux légumes du soleil,"frais,barquette,plastique,sous atmosphère protectrice",plant-based-foods-and-beverages,c,3,4.7,22.0,4.5,2,0,45.63,5.12,1
Salade alsacienne ,"frais,barquette,plastique,sous atmosphère protectrice",fresh-foods,d,14,18.0,2.1,8.6,11,0,45.63,5.12,1
Salade de lentilles à la lyonnaise,"plastique,sous atmosphère protectrice,frais",plant-based-foods-and-beverages,b,2,5.6,10.0,6.0,3,0,47.63,-2.67,1
Sainte Maure de Touraine,"frais,plastique",dairies,d,13,22.0,1.0,18.0,1,0,46.73,0.95,1
Provoletta doux en tranches,"frais,plastique,barquette,atmosphère protectrice",dairies,d,18,20.3,1.8,24.8,0,0,47.63,-2.67,0
10 seafood sticks,"sachet,plastique",seafood,c,4,4.8,15.0,6.6,1,0,47.63,-2.67,1
Witti's snack box,carton,salty-snacks,d,12,26.5,55.5,9.5,1,0,47.63,-2.67,1
Witti's à l'emmental,carton,salty-snacks,d,16,29.0,51.0,13.0,3,0,47.63,-2.67,1
Mini pizza,"plastic,egg box",farming-products,d,13,28.5,57.0,9.5,0,0,47.63,-2.67,0
Ravioli 100 % Pur Bœuf (Sauce tomate cuisinée),"boîte,conserve,acier recyclable",plant-based-foods-and-beverages,b,1,2.3,12.6,3.8,1,0,49.68,3.58,1
6 Eggs,"sachet,plastique",farming-products,a,-1,9.0,0.0,12.6,1,0,47.63,-2.67,1
Tortitas de maíz,bolsa de plástico,plant-based-foods-and-beverages,c,6,1.6,83.6,7.0,1,0,47.63,-2.67,1
Berry Chewing-gum sans sucres,"carton,film,plastique",sugary-snacks,b,1,0.0,52.0,0.0,12,0,47.63,-2.67,1
Pommes Rissolées,"surgelé,sachet,plastique",plant-based-foods-and-beverages,b,0,3.6,20.3,2.6,0,0,47.63,-2.67,0
Salmorejo Tradicional,plástico,meals,c,3,4.6,6.0,0.8,1,0,47.63,-2.67,1
Noir Noisettes,carton,sugary-snacks,e,20,39.2,43.1,7.0,1,0,47.63,-2.67,1
Gaufrettes aux framboises,"carton,plastique",waffles,c,10,1.0,83.0,4.5,8,0,47.63,-2.67,1
Gaufrettes au chocolat et aux noisettes,"carton,plastique",sugary-snacks,e,20,22.0,60.5,8.5,3,0,47.63,-2.67,1
Lasagnes,"etui,carton,plastique,packung",plant-based-foods-and-beverages,a,-5,1.2,71.0,12.0,0,0,47.63,-2.67,0
Mango getrocknet,kunststoff,plant-based-foods-and-beverages,c,8,1.2,77.5,1.9,1,0,47.63,-2.67,1
Mango congelado,"caja de cartón, ultracongelado",plant-based-foods-and-beverages,a,-3,0.1,14.2,0.5,0,0,47.63,-2.67,0
Piña congelada,"caja de cartón, ultracongelado",plant-based-foods-and-beverages,a,-4,0.1,8.0,0.4,0,0,47.63,-2.67,0
Mezcla de frutas congeladas ,"caja de cartón, ultracongelado",plant-based-foods-and-beverages,b,0,3.0,10.5,1.3,0,0,47.63,-2.67,0
Arándanos congelados,"caja de cartón, ultracongelado",plant-based-foods-and-beverages,a,-4,0.1,6.7,0.4,0,0,47.63,-2.67,0
Véritable Jambon Persillé ,"barquette,plastique",meats,d,11,4.3,0.5,20.3,4,0,47.1,5.5,1
Russisch Brot,kunststoff,sugary-snacks,d,14,1.0,88.5,6.6,1,0,47.63,-2.67,1
Wafer Duo minis,07 o,sugary-snacks,e,26,29.0,59.0,6.7,0,0,47.63,-2.67,0
Pizza Fiambre e Queijo,"plástico,pet,♳",meals,d,15,7.0,27.0,13.0,0,0,47.63,-2.67,0
Pizza Romana,"plástico,pet,♳",meals,c,4,6.0,28.0,12.0,0,0,47.63,-2.67,0
Noix de cajou,"sachet,plastique",plant-based-foods-and-beverages,e,22,49.3,25.0,18.0,0,1,47.63,-2.67,0
14 mini-saucisses à griller,"plastique,sous-vide,frais",meats,e,22,30.0,1.0,14.2,1,0,47.63,-2.67,1
Bircher Muesli Yogurt Alpengut,pot en plastique,dairies,c,4,2.8,15.9,3.2,0,0,47.63,-2.67,0
Multi-Vitamin,"carton,gourde,plastique,pasteurisé",beverages,e,13,0.5,9.3,0.5,3,0,47.63,-2.67,1
Nectar de mangue,"bouteille,plastique",fruit-juices-and-nectars,e,16,0.03,11.6,0.3,2,0,47.63,-2.67,1
Nectar d'abricot,"plastique,bouteille",fruit-juices-and-nectars,e,14,0.04,10.6,0.3,1,0,47.63,-2.67,1
Nems au poulet avec sauce Nuoc-mâm,"barquette,plastique,frais,barquette",fresh-foods,c,6,8.3,20.3,7.4,0,0,46.95,-1.3,0
Greek style yoghurt,"verpackv-5,verpackv-pp",griechische-joghurt,a,-2,2.0,4.2,5.8,0,0,47.63,-2.67,0
Carré Lait-Noisette,"sachet,plastique",waffles,e,25,33.1,52.2,6.3,3,1,47.63,-2.67,1
Cruspies BBQ,"sachet,plastique",plant-based-foods-and-beverages,d,17,31.2,40.4,13.8,1,1,47.63,-2.67,1
Ravioli in Sauce-Bolognese,dose,plant-based-foods-and-beverages,c,3,3.2,12.0,3.9,0,0,49.68,3.58,0
Beurre Tendre & Léger 40% MG doux,"barquette,plastique",spreads,d,16,40.0,3.8,0.5,6,0,47.92,-1.38,1
Amande Caramel,carton,sugary-snacks,e,27,39.2,48.9,7.4,1,0,47.63,-2.67,1
Bon matin,"boîte,fer",beverages,e,28,12.0,59.0,14.0,0,0,47.63,-2.67,0
Choco Chips Crispy Dark,"bolsa de aluminio, caja de cartón, soporte de plástico",sugary-snacks,e,25,31.3,51.5,7.6,2,0,47.63,-2.67,1
Honey Hoops,"carton,sachet,plastique",plant-based-foods-and-beverages,c,8,2.4,81.2,6.3,0,0,47.63,-2.67,0
Conchiglie con verdue e pesto rosso,verpackv-7,meals,c,4,4.52,10.9,3.12,0,0,47.63,-2.67,0
Riz Basmati,plastique type 7,plant-based-foods-and-beverages,a,-1,0.6,78.0,7.4,1,0,47.63,-2.67,1
Basmati sélection,"sachet,plastique",plant-based-foods-and-beverages,a,-1,0.6,78.0,7.4,0,0,47.63,-2.67,0
Galletas Minis,"caja,cartón,plástico",sugary-snacks,d,12,17.0,68.0,6.3,2,0,47.63,-2.67,1
Four multi grain rolls,plastic wrap,plant-based-foods-and-beverages,b,0,6.41,50.0,12.8,3,0,47.63,-2.67,1
Farmdale Full Cream Long Life Milk,"carton,long life,tetra pak",dairies,b,1,3.4,5.1,3.3,0,0,47.63,-2.67,0
British pork lean mince,plastic,pork-mince,a,-2,5.8,0.1,20.2,0,0,47.63,-2.67,0
Oursons,"pot,plastique",dairies,c,3,4.4,16.8,3.5,5,1,47.63,-2.67,1
Tomato Ketchup,"bouteille,plastique,bouteille,flasche",groceries,d,13,0.1,23.8,1.7,0,0,47.63,-2.67,0
Tomato ketchup allégé en sucres,"flacon,plastique",groceries,d,11,0.1,5.8,1.6,3,0,47.63,-2.67,1
NEO,"carton,plastique",sugary-snacks,e,26,23.0,63.0,6.4,3,1,47.63,-2.67,1
Tuna steak,steel can,canned-foods,b,2,9.0,0.5,27.0,0,0,47.63,-2.67,0
Poulet aux champignons noirs & nouilles,"frais,barquette,plastique,film plastique,carton,sous atmosphère protectrice",fresh-foods,a,-1,3.6,12.5,5.5,2,0,48.1,-4.0,1
Cacahuète Barres Céréales,"carton,sachets individuels,plastique",plant-based-foods-and-beverages,c,6,13.2,65.7,7.9,3,0,47.63,-2.67,1
Chocolat - barres céréales,"carton,film plastique,riegel",sugary-snacks,b,1,8.4,69.9,7.8,3,0,47.63,-2.67,1
Grill-Lachs Provençale,verpackv-7,seafood,d,12,10.0,0.0,19.0,0,0,47.63,-2.67,0
Riz Cantonais,"barquette plastique,frais",meals,c,4,3.5,35.1,6.2,5,0,47.63,-2.67,1
Yaourt nature sucré,"plastique,carton",dairies,c,4,3.2,11.7,3.1,1,0,47.63,-2.67,1
Yaourt Nature (12 pots),"frais,pot,plastique,opercule,etui,carton 21",fresh-foods,a,-1,1.1,4.6,3.8,0,0,47.63,-2.67,0
Necar Multifruits,"bouteille,plastique",fruit-juices-and-nectars,e,15,0.03,12.5,0.3,0,0,47.63,-2.67,0
Pesto alla Gonevese,"glas,glas",groceries,e,21,38.7,8.2,6.1,3,0,47.63,-2.67,1
Multigrain Hoops,étui carton,plant-based-foods-and-beverages,b,1,3.0,76.6,7.5,1,0,47.63,-2.67,1
Sweetcorn,canned,sweetcorn,a,-5,1.9,10.8,3.0,0,0,47.63,-2.67,0
Petits Pois & Baby Carrots,steel can,plant-based-foods-and-beverages,a,-12,0.8,5.0,3.4,0,0,47.63,-2.67,0
4 Ciabattines,"sous-vide,sous-vide",plant-based-foods-and-beverages,a,-2,1.6,49.4,8.7,0,0,47.63,-2.67,0
Baguette céréales à finir de cuire ,"film plastique à jeter,atmosphère protectrice",plant-based-foods-and-beverages,a,-3,2.1,48.6,8.0,0,0,47.63,-2.67,0
Baguette à finir de cuire,plastique,baguettes-precuites,b,1,0.7,50.3,7.4,0,0,47.63,-2.67,0
4 petits pains à finir de cuire,"plastique,film plastique à jeter",plant-based-foods-and-beverages,b,1,0.9,50.0,7.4,1,0,47.63,-2.67,1
2 Demi-Baguettes,plastique,plant-based-foods-and-beverages,b,1,0.9,50.0,7.4,1,0,47.63,-2.67,1
Les Spécialités Pain Platine,"sachet,plastique",plant-based-foods-and-beverages,b,2,1.9,54.6,7.2,2,0,47.63,-2.67,1
4 minis gratins Dauphinois,"carton,plastique,surgelé",meals,c,4,4.0,11.7,2.6,2,0,47.77,-3.23,1
2 panés au cabillaud,"barquette,plastique",seafood,a,-1,9.9,18.9,10.9,1,0,47.77,-3.23,1
2 panés au colin d'Alaska,"frais,barquette,plastique,opercule,film plastique,sous atmosphère protectrice",fresh-foods,a,-2,8.8,18.5,11.4,2,0,47.77,-3.23,1
Rúcula,"bolsa de plástico,envasado en atmósfera protectora,refrigerado",plant-based-foods-and-beverages,a,-7,0.2,3.9,2.6,0,0,47.63,-2.67,0
Huile de Pistache Grillée,"verre,bouteille,71",plant-based-foods-and-beverages,d,11,92.0,0.0,0.0,0,0,47.63,-2.67,0
Huile de noisette,"sachet,plastique",plant-based-foods-and-beverages,c,10,92.0,0.0,0.0,1,0,47.63,-2.67,1
Noir,"carton,aluminium",sugary-snacks,e,21,32.1,52.2,4.7,1,0,47.63,-2.67,1
Noir noisettes entières,"carton,film métal,green dot,triman,en:fsc,en:fsc c021442",sugary-snacks,e,25,39.6,42.4,7.0,1,0,47.63,-2.67,1
Chocolat Noir,carton,sugary-snacks,e,26,31.6,53.1,4.6,1,0,47.63,-2.67,1
Canelés de Bordeaux,"frais,plastique",desserts,d,13,3.0,59.8,4.9,0,0,44.72,-0.52,0
Canelés de Bordeaux,"barquette,plastique",desserts,d,13,3.0,59.8,4.9,0,0,47.63,-2.67,0
15 British eggs - class A - medium,plastic tray,farming-products,a,-1,9.0,0.1,12.6,0,0,47.63,-2.67,0
6 larges free range British eggs,board,farming-products,a,-1,9.0,0.0,12.6,0,0,47.63,-2.67,0
Boisson au thé de Ceylan saveur citron,bouteille,beverages,e,10,0.03,7.0,0.1,3,0,47.63,-2.67,1
Pastasauce allo Romana con ricotta,glas,groceries,c,7,6.3,6.9,3.4,1,0,47.63,-2.67,1
"Italiamo Sugo Alla Toscana, Tomatensoße Mit Geräuc...","70,verre,bocal",groceries,c,8,6.2,6.3,3.9,1,0,47.63,-2.67,1
Truffes fantaisie,"plastique,carton",sugary-snacks,e,21,45.0,43.0,3.8,0,1,47.63,-2.67,0
Truffes frantaisie aux écorces d'orange confites,"plastique,carton",sugary-snacks,e,21,43.0,44.0,3.8,2,1,47.63,-2.67,1
Guimauves de Noël,"boite,plastique",sugary-snacks,e,19,9.3,67.5,3.4,2,0,47.63,-2.67,1
assortiment de bonbons au chocolat,"sachet,plastique",sugary-snacks,e,21,36.0,49.0,6.8,1,0,47.63,-2.67,1
Les Orangettes,"carton,plastique",sugary-snacks,e,23,18.5,53.7,3.5,3,0,47.63,-2.67,1
Dark chocolate drops,"caja de cartón,bolsa de plástico,karton,packung",sugary-snacks,e,26,27.1,54.0,6.5,1,0,47.63,-2.67,1
Clémentines et oranges de Corse,"pot,verre",plant-based-foods-and-beverages,d,11,0.5,50.4,0.5,1,0,47.63,-2.67,1
Tartine & Cuisson Doux,"barquette,plastique,barquette et couvercle plastique à jeter,opercule métal à recycler",plant-based-foods-and-beverages,c,10,60.0,0.2,0.1,6,1,47.63,-2.67,1
Naranjas confitadas bañadas de chocolate negro,"envoltorio de plástico,soporte de plástico,caja de cartón",plant-based-foods-and-beverages,d,18,16.0,62.0,3.0,4,0,47.63,-2.67,1
Speculoos à tartiner,verre,spreads,e,24,38.6,55.7,3.0,5,0,47.63,-2.67,1
Pan de higo con almendra,film plástico,plant-based-foods-and-beverages,d,14,4.7,60.4,5.0,0,0,47.63,-2.67,0
British butter - unsalted,mixed materials,spreads,d,18,82.0,0.6,0.6,0,0,47.63,-2.67,0
Petits pois doux extra fins,"sachet,plastique,surgelé",plant-based-foods-and-beverages,a,-8,0.9,5.5,5.0,0,0,48.13,-3.6,0
Bio Hafer Cookies,"05 pp,♷",sugary-snacks,e,20,25.7,58.8,7.1,1,0,47.63,-2.67,1
Winter-Zauber Edelvollmilch - Mandel-Spekulatius-Apfel,"kunststoff,05-pp,♷",sugary-snacks,e,27,31.2,54.3,7.0,0,0,47.63,-2.67,0
"Carrots, Broccoli & Cauliflower",plastic bag,plant-based-foods-and-beverages,a,-10,0.7,6.7,1.8,0,0,47.63,-2.67,0
"Légumes Vapeur carottes, brocolis, maïs","surgelé,plastique",plant-based-foods-and-beverages,a,-5,0.6,8.2,1.4,0,0,47.63,-2.67,0
Noix de Grenoble,plastique,plant-based-foods-and-beverages,d,15,66.3,6.3,15.3,0,0,47.63,-2.67,0
Delikatess Edelsalami,"07,kunststoff",meats,e,24,32.0,0.5,20.0,3,0,47.63,-2.67,1
Mélange de champignons,"bocal,verre",plant-based-foods-and-beverages,c,3,0.3,0.5,1.8,2,0,47.63,-2.67,1
Biscuits aux céréales au chocolat au lait,papier,biscuits-et-gateaux,e,21,20.7,65.4,7.5,1,0,47.63,-2.67,1
Croque-Monsieur Jambon & Chèvre,"barquette,plastique",sandwiches,d,17,14.0,26.0,11.0,15,1,47.37,-0.93,1
Agrumes light,"bouteille,plastique",beverages,c,2,0.0,0.2,0.0,10,0,47.63,-2.67,1
Spaghetti Cuisson Rapide,"plastique,sachet",plant-based-foods-and-beverages,a,-5,1.2,71.0,12.0,0,0,47.63,-2.67,0
Fusillini à la semoule de blé dur,sachet,plant-based-foods-and-beverages,a,-5,1.2,71.0,12.0,0,0,47.63,-2.67,0
Huile de noix,"bouteille en verre transparante,bouchon metal,verseur plastique,point vert",plant-based-foods-and-beverages,c,10,92.0,0.0,0.0,0,0,47.63,-2.67,0
Chocolat au lait décoré,plastique,sugary-snacks,e,26,32.1,58.0,5.1,1,0,47.63,-2.67,1
Néctar de guayaba &quot;Solevita&quot;,"tetra brik,pasteurizado",fruit-juices-and-nectars,e,16,0.1,15.5,0.2,2,0,47.63,-2.67,1
Framboisier à la Compotée de Framboises,"surgelé,carton,plastique",sugary-snacks,c,9,6.5,25.0,2.8,1,0,47.63,-2.67,1
Higos secos,bolsa de plástico,plant-based-foods-and-beverages,c,7,0.6,63.3,3.2,0,0,47.63,-2.67,0
Cocos & Choco,"sachet,plastique",sugary-snacks,e,23,24.7,59.0,3.6,3,0,47.63,-2.67,1
Olives farcies à l'ail,"pot,verre",green-olives,c,9,12.0,0.5,1.5,2,0,47.63,-2.67,1
Mousse à la vanille blanc,carton,sugary-snacks,e,27,38.0,50.9,7.2,1,0,47.63,-2.67,1
Velouté de tomates,"brique,carton",plant-based-foods-and-beverages,c,3,0.8,8.1,0.7,1,0,47.63,-2.67,1
Velouté de poireaux & pomme de terre et pointe de crème,"brique,carton",plant-based-foods-and-beverages,b,2,1.1,5.5,0.5,1,0,47.63,-2.67,1
Choco & Caramel,"sachet,plastique",sugary-snacks,e,26,19.7,64.9,0.2,1,0,47.63,-2.67,1
Chanterelles,"bocal,verre,97",plant-based-foods-and-beverages,c,4,0.5,3.0,1.6,3,0,47.63,-2.67,1
Jus multifruits,"sachet,plastique",fruit-juices,d,6,0.1,11.6,0.1,1,0,47.63,-2.67,1
Crownfield - Cereal Cookie,"carton,sachet,plastique",plant-based-foods-and-beverages,c,7,2.9,81.4,8.0,1,0,47.63,-2.67,1
Gnocchi à poêler,"sachet,plastique",plant-based-foods-and-beverages,c,5,0.6,29.6,3.0,2,0,47.63,-2.67,1
Glass noodles,bolsa de plástico,plant-based-foods-and-beverages,b,1,0.4,82.7,0.4,0,0,47.63,-2.67,0
Knacks qualité supérieure,"barquette,film,plastique",meats,d,18,24.0,1.0,12.0,1,0,47.63,-2.67,1
Saumon Atlantique Sauce Oseille,"surgelé,plastique,carton",frozen-foods,b,1,8.5,1.7,10.9,1,0,47.63,-2.67,1
"Saumon Fondue de Poireaux, Surgelé","surgelé,sous-vide,boîte,carton 22 (pap),sachet",frozen-foods,b,1,9.9,1.8,10.8,1,0,47.63,-2.67,1
Quiches lorrains à la crème fraîche,"barquette,plastique,frais",fresh-foods,d,16,18.0,20.0,8.1,5,1,47.63,-2.67,1
Camembert de Caractère,"boite bois,film papier",dairies,d,14,20.0,1.0,21.0,0,0,48.62,-1.3,0
Yaourt nature maigre,plastique,dairies,a,-2,0.08,4.5,4.3,0,0,47.63,-2.67,0
Mermelada de kiwi,"tarro, vidrio",plant-based-foods-and-beverages,c,6,0.3,45.0,0.7,0,0,47.63,-2.67,0
Lindor Lait,"boîte,carton,pp,♷",sugary-snacks,e,27,47.0,44.0,4.9,1,0,47.63,-2.67,1
LINDOR assorti,carton,sugary-snacks,e,25,49.0,43.0,4.4,1,1,47.63,-2.67,1
Corazones de alcachofa de Tudela,bote de vidrio,plant-based-foods-and-beverages,a,-2,0.0,3.0,3.0,1,0,47.63,-2.67,1
Saucisse De Morteau Cuite,"plastique,frais,sous atmosphère protectrice",meats,e,20,28.0,1.0,16.0,1,0,47.07,6.62,1
Capperi,"bote, vidrio, pasteurizado",pickles,c,10,0.5,1.3,1.2,1,0,47.63,-2.67,1
Tartelettes pur beurre à la fraise,"carton,sachet,plastique",sugary-snacks,e,19,14.1,69.8,4.2,6,0,47.63,-2.67,1
Tartelettes citron,"carton,plastique",sugary-snacks,e,21,17.5,66.9,5.2,3,0,47.63,-2.67,1
Tartelettes Chocolat - Noix de Coco,"carton,sachet,plastique,carton",sugary-snacks,e,22,30.5,58.1,6.4,3,0,47.63,-2.67,1
Viande des Grisons Séchée en Suisse,"plastique,sous-vide,frais",meats,d,13,4.5,1.6,38.0,0,0,45.58,5.6,0
Tilster,07,dairies,d,17,28.0,0.5,25.0,0,0,47.63,-2.67,0
Tartes aux poireaux à la crèmeu fraîche,"barquette,film,plastique,sous atmosphère protectrice",meals,d,15,17.0,19.0,5.4,4,1,47.63,-2.67,1
Captain Rondo Apfel,"kunststoff,05 pp,♷",sugary-snacks,e,25,19.1,69.3,4.1,3,0,47.63,-2.67,1
Surtido de encurtidos en banderillas &quot;Baresa&quot; Dulces,"bote de vidrio,pasteurizado",pickles,c,3,2.7,1.4,0.8,3,0,47.63,-2.67,1
Mélange gourmand savoureux & coloré,"frais,sachet,plastique",plant-based-foods-and-beverages,a,-5,0.3,1.8,1.3,0,0,47.63,-2.67,0
Mints,"boite,plastique",sugary-snacks,d,15,0.5,98.0,0.5,3,0,47.63,-2.67,1
Squid Ink Tortelloni,"barquette,plastique",plant-based-foods-and-beverages,c,10,8.1,41.2,9.9,1,0,47.63,-2.67,1
8 galettes de légumes courgettes-carottes-petits pois,"surgelé,carton",plant-based-foods-and-beverages,a,-6,5.3,9.0,2.8,2,0,47.63,-2.67,1
galettes de légumes,surgelé carton,preparation-a-base-de-legumes,b,0,5.0,5.0,2.3,1,0,47.77,-3.23,1
8 galettes de légumes poireaux-carottes-pommes de terre,"carton,surgelé",frozen-foods,a,-3,5.8,10.6,2.5,2,0,47.77,-3.23,1
Debrecziner Alepngut,barquette en plastique,meats,e,24,28.0,2.2,15.6,3,0,47.63,-2.67,1
Compote de pomme allégée en sucres,"carton,gourdes",plant-based-foods-and-beverages,a,-4,0.2,14.0,0.3,1,0,47.63,-2.67,1
Grana Padano Riserva,kunststoff,dairies,d,15,29.0,0.0,33.0,0,0,47.63,-2.67,0
Postre de soja con chocolate,"tarrina de plástico,caja de cartón,refrigerado",sugary-snacks,b,2,2.1,18.1,3.4,2,0,48.38,-1.6,1
Postre de soja Vainilla,"tarrina de plástico,caja de cartón,refrigerado",desserts,b,2,1.6,13.5,2.9,3,0,48.38,-1.6,1
Recette crémeuse aux fruits,"pots,plastique,carton",dairies,c,4,3.4,14.0,3.1,11,0,47.88,2.52,1
Dessert au chocolat,"verre,carton,plastique",sugary-snacks,e,19,18.0,32.9,4.2,9,0,47.63,-2.67,1
Knacks d'Alsace,"barquette,plastique",meats,d,18,24.0,0.6,13.0,5,0,48.47,7.48,1
Chocolate Frutos Secos,plastico,sugary-snacks,e,26,26.7,56.7,6.4,1,0,47.63,-2.67,1
Tomate entero pelado,lata,plant-based-foods-and-beverages,a,-3,0.5,2.5,0.8,2,0,47.63,-2.67,1
Bulgur,plastique,plant-based-foods-and-beverages,a,-1,1.0,76.9,11.5,0,0,47.63,-2.67,0
Compote pomme sans sucres ajoutés,"plastique,pots individuels",plant-based-foods-and-beverages,a,-5,0.2,10.0,0.3,1,0,47.63,-2.67,1
Comté 12 mois d'affinage au lait cru,"plastique,frais",dairies,d,13,34.6,0.3,26.7,0,0,46.83,5.72,0
Cookies double chocolat,"sachet,plastique",sugary-snacks,e,26,25.4,59.0,6.2,3,1,47.63,-2.67,1
Grandino Nougatine Cookies ,"sachet,plastique",sugary-snacks,e,26,27.4,59.8,5.4,3,1,47.63,-2.67,1
Chocolate Flavour Layered Ice Cream Log,"caixa,cartão,pap,travessa,plástico,pp,polipropileno,♷",desserts,d,17,17.4,24.3,2.5,2,0,47.63,-2.67,1
"Linessa - Yaourt aux fruits 0% - Cerise, Pêche, Mangue, Fraise","carton,pot plastique,opercule plastique",dairies,a,-2,0.1,7.0,4.9,1,0,47.63,-2.67,1
Weiß,"karton,05-pp,verpackv-21,♷",desserts,e,19,19.5,32.5,2.3,3,0,47.63,-2.67,1
Haricots blancs géants,"sachet,plastique",plant-based-foods-and-beverages,a,-7,2.4,43.6,19.1,0,0,47.63,-2.67,0
Coquillettes cuisson rapide,"sachet,plastique,sachet",plant-based-foods-and-beverages,a,-5,1.2,71.0,12.0,1,0,47.63,-2.67,1
Wrap Chicken Salsa,"carton,surgelé",frozen-foods,c,10,11.5,10.9,10.8,15,0,47.63,-2.67,1
Wrap Veggie Falafel,"carton,surgelé",plant-based-foods-and-beverages,b,2,12.5,22.7,6.4,12,0,47.63,-2.67,1
Real mayonnaise,"glass jar,steel lid,plastic film",groceries,e,19,75.1,1.4,1.0,2,0,47.63,-2.67,1
light mayonnaise,"glass jar,metal lid",groceries,c,9,29.9,5.9,0.4,2,0,47.63,-2.67,1
Chèvre frais,"pot,film,plastique,frais",dairies,c,7,12.0,3.0,10.0,0,0,45.42,4.68,0
Goudse kaas vieux 48+,"plastic 07,film plastique,atmosphère protectrice,frais",dairies,e,19,33.5,0.0,26.0,2,0,47.63,-2.67,1
Bouillon de Volaille,"boîte,plastique",groceries,c,4,0.2,0.5,0.1,3,1,47.63,-2.67,1
L'île Flottante sur lit de Crème Anglaise,"plastique,carton,frais",dairies,c,4,2.5,22.1,4.8,1,0,46.13,-1.1,1
Smoothie,"sachet,plastique",beverages,e,16,0.0,13.0,0.8,2,0,47.63,-2.67,1
Pâte à tartiner aux noisettes,"pot,plastique",spreads,e,25,29.0,58.5,6.1,1,0,47.63,-2.67,1
Thon au Naturel,"conserve,carton,métal,fer,40",canned-foods,b,1,2.7,0.0,26.7,0,0,47.63,-2.67,0
